source,year,main_item,item,amount_thousand_try
expense_detail,2017,4. Cari Transferler,e) Tarımsal Destekleme Ödemeleri,12838329.0
expense_detail,2017,4. Cari Transferler,Bireysel Emeklilik Devlet Katkısı,3849000.0
expense_detail,2017,4. Cari Transferler,g) Sosyal Amaçlı Transferler,12613322.0
expense_detail,2017,4. Cari Transferler,-Büyükşehir Belediyelerine,25194488.0
expense_detail,2017,4. Cari Transferler,-Büyükşehir İlçe Belediyelerine,22998834.0
expense_detail,2017,4. Cari Transferler,-Diğer Belediyelere,7666278.0
expense_detail,2017,5. Sermaye Giderleri,5. Sermaye Giderleri,66243000.0
expense_detail,2017,5. Sermaye Giderleri,Gayrimenkul Sermaye Üretim Giderleri,43843484.0
expense_detail,2017,6. Sermaye Transferleri,6. Sermaye Transferleri,10881283.0
expense_detail,2017,7. Borç Verme,7. Borç Verme,12917108.0
expense_detail,2017,7. Borç Verme,Öğrenim ve Harç Kredisi,5874649.0
expense_detail,2017,8. Yedek Ödenekler,8. Yedek Ödenekler,6420922.0
expense_detail,2017,8. Yedek Ödenekler,Yedek Ödenek,3662841.0
expense_detail,2017,8. Yedek Ödenekler,Yatırımları Hızlandırma Ödeneği,451710.0
expense_detail,2017,B. Faiz Giderleri,B. Faiz Giderleri,57500000.0
expense_detail,2017,B. Faiz Giderleri,-Tahvil Faizi,40096881.0
expense_detail,2017,B. Faiz Giderleri,b) Dış Borç Faiz Ödemeleri,13000000.0
expense_detail,2017,B. Faiz Giderleri,e) Kira Sertifikası Giderleri,1738119.0
ministries,2017,Genel Bütçeli İdareler,Cumhurbaşkanlığı,648488.0
ministries,2017,Genel Bütçeli İdareler,TBMM,981589.0
ministries,2017,Genel Bütçeli İdareler,Anayasa Mahkemesi,58784.0
ministries,2017,Genel Bütçeli İdareler,Yargıtay,382750.0
ministries,2017,Genel Bütçeli İdareler,Danıştay,125072.0
ministries,2017,Genel Bütçeli İdareler,Sayıştay,257486.0
ministries,2017,Genel Bütçeli İdareler,Başbakanlık,1584358.0
ministries,2017,Genel Bütçeli İdareler,Milli İstihbarat Teşkilatı Müsteşarlığı,1995692.0
ministries,2017,Genel Bütçeli İdareler,Milli Güvenlik Kurulu Genel Sekreterliği,28071.0
ministries,2017,Genel Bütçeli İdareler,Basın Yayın ve Enformasyon Genel Müdürlüğü,297305.0
ministries,2017,Genel Bütçeli İdareler,Hazine Müsteşarlığı,77406980.0
ministries,2017,Genel Bütçeli İdareler,Diyanet İşleri Başkanlığı,6867117.0
ministries,2017,Genel Bütçeli İdareler,Afet ve Acil Durum Yönetimi Başkanlığı,1248152.0
ministries,2017,Genel Bütçeli İdareler,Adalet Bakanlığı,12304365.0
ministries,2017,Genel Bütçeli İdareler,Milli Savunma Bakanlığı,28702119.0
ministries,2017,Genel Bütçeli İdareler,İçişleri Bakanlığı,5834586.0
ministries,2017,Genel Bütçeli İdareler,Jandarma Genel Komutanlığı,9374739.0
ministries,2017,Genel Bütçeli İdareler,Emniyet Genel Müdürlüğü,23537811.0
ministries,2017,Genel Bütçeli İdareler,Sahil Güvenlik Komutanlığı,649761.0
ministries,2017,Genel Bütçeli İdareler,Kamu Düzeni ve Güvenliği Müsteşarlığı,17857.0
ministries,2017,Genel Bütçeli İdareler,Göç İdaresi Genel Müdürlüğü,349852.0
ministries,2017,Genel Bütçeli İdareler,Dışişleri Bakanlığı,2963645.0
ministries,2017,Genel Bütçeli İdareler,Maliye Bakanlığı,171691737.0
ministries,2017,Genel Bütçeli İdareler,Gelir İdaresi Başkanlığı,3044626.0
ministries,2017,Genel Bütçeli İdareler,Milli Eğitim Bakanlığı,85048584.0
ministries,2017,Genel Bütçeli İdareler,Sağlık Bakanlığı,5831124.0
ministries,2017,Genel Bütçeli İdareler,Türkiye Kamu Hastaneleri Kurumu,15795066.0
ministries,2017,Genel Bütçeli İdareler,Türkiye Halk Sağlığı Kurumu,10343267.0
ministries,2017,Genel Bütçeli İdareler,Çalışma ve Sosyal Güvenlik Bakanlığı,49855256.0
ministries,2017,Genel Bütçeli İdareler,Devlet Personel Başkanlığı,29303.0
ministries,2017,Genel Bütçeli İdareler,Enerji ve Tabii Kaynaklar Bakanlığı,2333590.0
ministries,2017,Genel Bütçeli İdareler,Kültür ve Turizm Bakanlığı,3459754.0
ministries,2017,Genel Bütçeli İdareler,Hakimler ve Savcılar Yüksek Kurulu,61236.0
ministries,2017,Genel Bütçeli İdareler,Aile ve Sosyal Politikalar Bakanlığı,24303358.0
ministries,2017,Genel Bütçeli İdareler,Avrupa Birliği Bakanlığı,313525.0
ministries,2017,Genel Bütçeli İdareler,"Bilim, Sanayi ve Teknoloji Bakanlığı",5147467.0
ministries,2017,Genel Bütçeli İdareler,Çevre ve Şehircilik Bakanlığı,1823914.0
ministries,2017,Genel Bütçeli İdareler,Tapu ve Kadastro Genel Müdürlüğü,919482.0
ministries,2017,Genel Bütçeli İdareler,Ekonomi Bakanlığı,3948832.0
ministries,2017,Genel Bütçeli İdareler,Gençlik ve Spor Bakanlığı,11627263.0
ministries,2017,Genel Bütçeli İdareler,"Gıda, Tarım ve Hayvancılık Bakanlığı",19537920.0
ministries,2017,Genel Bütçeli İdareler,Gümrük ve Ticaret Bakanlığı,1131320.0
ministries,2017,Genel Bütçeli İdareler,Kalkınma Bakanlığı,2819793.0
